Nome completo do funcionário,Data de nascimento do funcionário,CPF do funcionário,Matrícula do funcionário,Cargo do funcionário,Setor de trabalho do funcionário,Data de início da ausência,Data de término da ausência,Total de dias de ausência,Código Internacional de Doenças (CID),Nome da doença (descrição do CID),Data da consulta médica,CRM do médico responsável,Nome do médico responsável,Local da consulta médica (hospital/clínica),Tipo de atendimento (ambulatorial/internação),Tipo de ausência (afastamento total/parcial),Laudo médico (sim/não),Tipo de laudo (perícia/consulta),Tratamento recomendado (medicação/repouso/outro),Data da emissão do atestado,Data de recebimento do atestado pelo RH,Histórico de ausências médicas anteriores,Horário da consulta médica,Regime de trabalho (CLT/Estatutário),Data de retorno ao trabalho prevista,Data de retorno ao trabalho efetiva,Tipo de vínculo empregatício (efetivo/temporário),Justificativa do médico para o afastamento,Status da análise do pedido de ausência (aprovado/pendente/rejeitado)
Sr. Marcos Vinicius Ribeiro,1966-06-22,675.419.832-09,45209,Técnico em taquigrafia,illo,2024-04-24,2024-01-29,25,C0080,quae,2024-06-10,15425-S,Benício da Mata,Oliveira S.A.,internação,afastamento parcial,sim,consulta,repouso,2024-04-03,2024-06-13,5,23:37:31,CLT,2024-03-08,2024-01-15,efetivo,Aliquid doloremque est doloremque eos ad alias.,aprovado
Ana Julia Melo,1997-06-08,503.271.489-50,96860,Tecnólogo em automação industrial,quibusdam,2024-01-03,2024-03-01,3,B0040,magni,2024-01-15,51345-P,Emanuel Ribeiro,Freitas Martins - ME,ambulatorial,afastamento total,sim,perícia,medicação,2024-02-05,2024-01-27,0,16:40:04,CLT,2024-05-18,2024-04-25,efetivo,Ducimus ea laboriosam.,rejeitado
Bruno Alves,1984-01-31,645.713.902-70,3671,Personal stylist,aut,2024-02-20,2024-01-02,6,B0019,enim,2024-01-06,62961-S,Lucca Ramos,Gonçalves,ambulatorial,afastamento parcial,sim,perícia,outro,2024-05-27,2024-05-24,5,19:23:53,CLT,2024-01-21,2024-05-10,efetivo,Eaque necessitatibus voluptatum magnam.,pendente
Fernanda Ramos,1962-11-16,596.012.437-80,49649,Assistente de produção,maxime,2024-04-09,2024-04-30,22,B0051,aliquam,2024-04-20,55425-S,Sr. Luiz Miguel Cunha,Mendes da Mata - EI,ambulatorial,afastamento total,não,perícia,outro,2024-01-07,2024-04-29,0,14:28:26,Estatutário,2024-04-24,2024-02-08,temporário,Quod iure dolores nisi ipsa dolor labore.,aprovado
Vitor Gabriel Santos,2000-09-15,908.172.364-22,72071,Profissional de tecnologia de laticínios,quam,2024-03-17,2024-02-28,6,A0036,impedit,2024-05-19,67332-P,Srta. Larissa da Conceição,da Rosa,ambulatorial,afastamento parcial,não,consulta,medicação,2024-02-02,2024-04-14,5,13:47:53,Estatutário,2024-03-10,2024-01-04,efetivo,Dignissimos vero provident.,aprovado
Dr. Enzo Gabriel Rodrigues,1981-08-23,391.460.758-01,83751,Arquiteto,sit,2024-04-26,2024-01-27,9,B0062,sequi,2024-01-21,63897-P,Emanuel da Costa,da Mota,internação,afastamento total,sim,perícia,medicação,2024-06-09,2024-03-02,2,18:15:24,Estatutário,2024-03-02,2024-02-18,efetivo,Nam odio delectus possimus sapiente eius enim.,aprovado
Bianca Barbosa,1975-06-25,028.415.793-79,1408,Agente funerário,consequuntur,2024-05-11,2024-05-03,8,C0086,aperiam,2024-02-15,15828-P,Maria Sophia Cardoso,Farias Martins S.A.,internação,afastamento total,não,perícia,outro,2024-02-23,2024-04-06,0,05:14:04,CLT,2024-04-16,2024-02-01,efetivo,Reprehenderit ea blanditiis provident.,rejeitado
Bernardo Cunha,1985-09-27,164.729.380-40,10920,Marechal,facere,2024-02-04,2024-04-06,13,C0014,ex,2024-05-01,54834-S,Kaique Silveira,Farias,internação,afastamento total,sim,consulta,repouso,2024-04-01,2024-02-07,5,13:21:53,Estatutário,2024-02-26,2024-04-04,efetivo,Non consequuntur fugit sunt ratione aspernatur.,aprovado
Carlos Eduardo Silva,2003-08-03,768.432.915-46,37007,Bartender,velit,2024-02-27,2024-03-14,11,B0077,laudantium,2024-04-27,96619-P,Srta. Lara Rocha,Sales,ambulatorial,afastamento total,não,consulta,medicação,2024-05-14,2024-04-29,4,11:08:40,Estatutário,2024-01-24,2024-05-27,efetivo,Ex perspiciatis ab soluta iste sapiente sit.,rejeitado
Amanda Rocha,1976-12-04,436.857.102-90,19072,Designer de moda,eligendi,2024-03-23,2024-05-01,27,A0018,porro,2024-05-16,57808-S,Davi Silva,Nunes,ambulatorial,afastamento total,não,perícia,repouso,2024-06-06,2024-06-17,3,13:57:46,CLT,2024-02-26,2024-01-12,efetivo,Necessitatibus accusamus facilis nesciunt numquam consectetur consequatur perspiciatis.,pendente
Vitória Viana,2004-10-12,895.634.720-47,30942,Educador,voluptatum,2024-03-28,2024-05-15,20,D0052,beatae,2024-05-11,41115-P,Sra. Alexia Martins,Fernandes,ambulatorial,afastamento total,não,consulta,repouso,2024-02-13,2024-05-21,0,02:24:40,CLT,2024-05-11,2024-02-22,efetivo,Occaecati doloribus ullam sit quos.,rejeitado
Marcela Martins,2000-03-17,104.832.579-23,44777,Mecanógrafo,cumque,2024-05-28,2024-03-27,8,C005,porro,2024-05-27,23670-S,Sr. Caio Pinto,da Luz - ME,ambulatorial,afastamento total,não,consulta,repouso,2024-03-23,2024-04-29,1,06:57:58,CLT,2024-01-24,2024-04-01,efetivo,Dolorum tenetur mollitia deserunt impedit commodi repellat.,rejeitado
Augusto Carvalho,1972-12-28,978.401.532-32,87256,Prático,autem,2024-01-17,2024-05-11,23,B0025,non,2024-04-07,37467-S,Raquel Fogaça,Cardoso,ambulatorial,afastamento total,sim,perícia,outro,2024-05-14,2024-01-29,1,15:41:18,Estatutário,2024-01-07,2024-06-02,temporário,Qui qui error quibusdam quibusdam.,pendente
Luiz Miguel Ramos,1970-11-14,042.176.835-53,89831,Tecnólogo em silvicultura,iure,2024-04-04,2024-02-01,21,B0034,veritatis,2024-04-27,41084-P,Heloísa Nascimento,Nunes S.A.,internação,afastamento parcial,sim,perícia,medicação,2024-05-16,2024-02-04,4,01:43:31,Estatutário,2024-03-18,2024-05-30,efetivo,Quos quod quasi laudantium inventore minima sit.,pendente
Theo Duarte,2000-08-20,689.250.137-03,34702,Prefeito,dolores,2024-05-17,2024-05-27,27,C0037,alias,2024-05-22,37168-P,Letícia Fernandes,Cardoso,internação,afastamento parcial,não,consulta,outro,2024-01-04,2024-05-08,1,19:36:42,Estatutário,2024-06-02,2024-01-15,efetivo,Minima placeat perspiciatis quisquam reprehenderit.,rejeitado
Pedro Miguel das Neves,1988-06-18,239.640.871-22,76210,Odontologista estético,delectus,2024-05-25,2024-03-27,20,A005,deserunt,2024-03-18,34475-P,Levi Cavalcanti,da Luz Azevedo S/A,internação,afastamento parcial,sim,consulta,repouso,2024-01-14,2024-01-13,0,04:14:09,CLT,2024-05-05,2024-02-20,efetivo,Corrupti reprehenderit repudiandae quas autem at.,aprovado
Davi Lucca Teixeira,1996-11-22,714.589.632-09,21581,Gandula,fugit,2024-04-12,2024-05-10,11,A005,enim,2024-05-03,15486-S,Alexia Fogaça,Martins,internação,afastamento total,sim,consulta,repouso,2024-03-25,2024-01-09,5,23:36:54,CLT,2024-02-25,2024-03-31,efetivo,Dolorem veniam modi officiis voluptatibus.,rejeitado
Enzo Gabriel Cardoso,1971-10-23,819.263.054-42,13779,Cirurgião bucal,fuga,2024-02-20,2024-01-30,19,A0058,dignissimos,2024-01-15,25275-S,Cauê Pereira,Cavalcanti S.A.,ambulatorial,afastamento total,não,consulta,repouso,2024-04-04,2024-02-01,5,10:42:06,Estatutário,2024-04-13,2024-05-13,temporário,Odio velit quia exercitationem nulla quasi.,pendente
Yasmin Pires,1982-05-18,209.453.781-14,73440,Costureira,magnam,2024-05-25,2024-02-05,15,B0070,excepturi,2024-05-09,98510-P,Gabriela Silveira,Cavalcanti e Filhos,ambulatorial,afastamento total,não,perícia,medicação,2024-03-13,2024-03-24,2,14:58:40,Estatutário,2024-01-17,2024-02-18,temporário,Quaerat repudiandae voluptate cum a.,pendente
Sabrina Aragão,1978-06-21,561.230.789-68,86104,Almirante,quaerat,2024-05-04,2024-03-17,22,B000,dolor,2024-04-08,47293-P,Sra. Amanda Lopes,Nunes Ltda.,ambulatorial,afastamento total,sim,perícia,medicação,2024-06-04,2024-02-17,0,07:56:03,CLT,2024-03-12,2024-01-28,temporário,Incidunt quam fugit voluptate iure iusto.,pendente
João Miguel Novaes,1958-11-28,834.095.126-24,88266,Químico,recusandae,2024-01-22,2024-02-03,13,B0044,vel,2024-05-08,73759-P,Luiz Miguel Vieira,Pinto,internação,afastamento total,não,perícia,medicação,2024-04-27,2024-04-14,2,21:09:39,Estatutário,2024-02-05,2024-03-31,efetivo,Explicabo autem occaecati ipsam similique harum voluptatum.,pendente
Beatriz Barros,1982-11-27,386.150.279-86,12600,Professor,harum,2024-04-01,2024-01-13,11,D0029,molestiae,2024-04-14,72181-P,Clara Cunha,Pereira Silveira S/A,ambulatorial,afastamento total,sim,consulta,medicação,2024-02-07,2024-01-23,4,02:00:06,CLT,2024-03-05,2024-04-07,efetivo,Quia sequi exercitationem amet.,aprovado
Davi Lucas Moraes,1971-03-09,087.523.946-38,39477,Designer gráfico,eligendi,2024-03-22,2024-03-26,5,D0051,perspiciatis,2024-03-25,31100-P,João Guilherme Vieira,Ramos,internação,afastamento parcial,não,perícia,medicação,2024-06-03,2024-05-17,1,20:37:50,CLT,2024-02-11,2024-01-08,efetivo,Inventore blanditiis aspernatur quam fugit ducimus quas consectetur.,aprovado
